ScenarioE2ETest_TC_SC_04_____________end.png	ScenarioE2ETest_TC_SC_04_次女の誤操作防止__ / end
ScenarioE2ETest_TC_SC_01__________01____S01______.png	ScenarioE2ETest_TC_SC_01_お母さんの朝__ / 01_初回_S01_利用者選択
ScenarioE2ETest_TC_SC_01__________02_S02_________.png	ScenarioE2ETest_TC_SC_01_お母さんの朝__ / 02_S02_スケジュール画面
ScenarioE2ETest_TC_SC_01__________03_2_____S02__.png	ScenarioE2ETest_TC_SC_01_お母さんの朝__ / 03_2回目起動でS02直行
ScenarioE2ETest_TC_SC_01__________04_S03_________.png	ScenarioE2ETest_TC_SC_01_お母さんの朝__ / 04_S03_予定追加モーダル
ScenarioE2ETest_TC_SC_01__________05_S03_____.png	ScenarioE2ETest_TC_SC_01_お母さんの朝__ / 05_S03_入力済み
ScenarioE2ETest_TC_SC_01__________06_______.png	ScenarioE2ETest_TC_SC_01_お母さんの朝__ / 06_保存トースト
ScenarioE2ETest_TC_SC_01__________end.png	ScenarioE2ETest_TC_SC_01_お母さんの朝__ / end
ScenarioE2ETest_TC_SC_05______________01_____.png	ScenarioE2ETest_TC_SC_05_削除と確認ダイアログ__ / 01_初期表示
ScenarioE2ETest_TC_SC_05______________02_______.png	ScenarioE2ETest_TC_SC_05_削除と確認ダイアログ__ / 02_編集フォーム
ScenarioE2ETest_TC_SC_05______________03__________.png	ScenarioE2ETest_TC_SC_05_削除と確認ダイアログ__ / 03_削除確認ダイアログ
ScenarioE2ETest_TC_SC_05______________04_____.png	ScenarioE2ETest_TC_SC_05_削除と確認ダイアログ__ / 04_削除完了
ScenarioE2ETest_TC_SC_05______________end.png	ScenarioE2ETest_TC_SC_05_削除と確認ダイアログ__ / end
ScenarioE2ETest_TC_SC_02___________end.png	ScenarioE2ETest_TC_SC_02_長女の夜の予定__ / end
ScreenTransitionE2ETest_T14____________end.png	ScreenTransitionE2ETest_T14_今日に戻るボタン__ / end
ScreenTransitionE2ETest_T08_______S03________end.png	ScreenTransitionE2ETest_T08_追加ボタンでS03_モーダル__ / end
ScreenTransitionE2ETest_T03__________S02___end.png	ScreenTransitionE2ETest_T03_名前ボタンタップでS02__ / end
ScreenTransitionE2ETest_T17_______S02______end.png	ScreenTransitionE2ETest_T17_キャンセルでS02に戻る__ / end
ScreenTransitionE2ETest_T02_LocalStorage___S02___end.png	ScreenTransitionE2ETest_T02_LocalStorageありはS02__ / end
ScreenTransitionE2ETest_T01______S01___end.png	ScreenTransitionE2ETest_T01_初回起動はS01__ / end
